speaker_norm,in_government,date,speech_idx,Managerial,Exploratory,parlasent_sentiment_sent,survivor_similarity_sent
catherine connolly,0,2023-07-05,0,0.105217550456348,0.742363870315351,1.49181861304835,0.53063047
eileen flynn,0,2023-06-28,0,0.383967773969786,0.55511118127954,2.20937408041209,0.36432225
eileen flynn,0,2023-06-28,1,0.411867283393922,0.532004560225949,1.9641615515574813,0.45330718
frances black,0,2023-06-28,0,0.454813771862541,0.505200322590818,1.7307396652797855,0.21823516
lisa chambers,1,2023-06-21,0,0.786858479894868,0.188874772377348,2.864754753161783,0.3351071
victor boyhan,0,2023-06-21,0,0.581641830503335,0.385693310000319,2.786899855117435,0.31261054
lynn ruane,0,2023-06-21,0,0.476453983378002,0.470200986504548,1.6741200407946504,0.4113842
victor boyhan,0,2023-06-14,0,0.437165444621688,0.526102692650671,2.205987390471486,0.6122179
lynn ruane,0,2023-06-14,0,0.459478010904298,0.468179236864403,1.5594035128042811,0.48583013
lynn ruane,0,2023-06-14,1,0.431357557147112,0.437173935161973,2.034645710672651,0.39300555
lynn ruane,0,2023-06-14,2,0.386473491914714,0.523042536879493,1.628141708481006,0.58918214
lynn ruane,0,2023-06-14,3,0.220766608375131,0.60956895980609,1.5664414892402978,0.5914073
victor boyhan,0,2023-06-14,1,0.216204095839733,0.728148883873329,1.828709071201663,0.5593649
victor boyhan,0,2023-06-14,2,0.777727634936004,0.200240135767941,3.916175104104555,0.27914166
catherine connolly,0,2023-06-14,0,0.0374561844563664,0.632179517079575,1.6386477908492088,0.30999452
catherine connolly,0,2023-06-14,1,0.0969859016859512,0.697019542084103,1.3158334968611598,0.45936355
frances black,0,2023-05-30,0,0.536062608290428,0.436430464630744,1.5600674671657158,0.26913664
victor boyhan,0,2023-05-30,0,0.374479767093208,0.609447841025912,2.4841661210293355,0.4953505
alice-mary higgins,0,2023-05-24,0,0.649289650017081,0.316744237405883,1.586709550023079,0.43657097
alice-mary higgins,0,2023-05-24,1,0.734713439013644,0.249633988768966,1.9107933688494896,0.3819824
alice-mary higgins,0,2023-05-24,2,0.917380189948784,0.0545009488172664,2.7454802274703978,0.22074819
alice-mary higgins,0,2023-05-24,3,0.370069516214984,0.585957455180844,1.2709179189184616,0.38304397
frances black,0,2023-05-24,0,0.18460847000942,0.320122259587549,3.509539993703365,0.41872707
alice-mary higgins,0,2023-05-23,0,0.606318293874991,0.379921702351952,1.382062082514935,0.3788777
victor boyhan,0,2023-05-23,0,0.352615790399807,0.614596779247999,1.9498760085020743,0.53368914
alice-mary higgins,0,2023-05-23,1,0.52792904434988,0.461864755816517,1.721142035066372,0.33958745
ivana bacik,0,2023-05-17,0,0.183990421913322,0.393665745644229,1.784509590131716,0.3738163
alice-mary higgins,0,2023-05-16,0,0.625924179964059,0.314078168623703,1.720766046738371,0.40630928
alice-mary higgins,0,2023-05-16,1,0.135799873341698,0.815790909458768,1.4274272287175769,0.40420163
alice-mary higgins,0,2023-05-16,2,0.64360922099607,0.261248833102071,2.3098423288714502,0.337094
alice-mary higgins,0,2023-05-16,3,0.313452997992588,0.609688504432354,1.6851014350540936,0.33771276
frances black,0,2023-04-25,0,0.244820424973823,0.694152747198398,1.9616444330041607,0.35103923
alice-mary higgins,0,2023-04-19,0,0.300576862407217,0.626459686176298,1.5888729469083689,0.562168
gerard p. craughwell,0,2023-04-19,0,0.126849907970564,0.81172415460231,1.7692382236799369,0.73427165
lisa chambers,1,2023-04-18,0,0.606877651914807,0.327000108063118,2.8703696381832873,0.26102608
ivana bacik,0,2023-03-29,0,0.371118433715807,0.440745419910078,2.284042226150632,0.31326762
catherine connolly,0,2023-03-23,0,0.0583907197192096,0.733555904416809,2.5339306242325725,0.42203936
ivana bacik,0,2023-03-08,0,0.340088583540807,0.19600771843386,2.9092116186878196,0.30199778
catherine connolly,0,2023-03-08,0,0.159580632751188,0.382723561046386,1.7578160966245029,0.36406448
victor boyhan,0,2023-03-01,0,0.639589122953063,0.289461872318935,2.730600255727768,0.33120686
lisa chambers,1,2023-03-01,0,0.651569431823191,0.319998653424828,2.9056909730037055,0.29893595
victor boyhan,0,2023-02-28,0,0.68859246443885,0.262800384475671,2.3997311079502106,0.34165794
catherine connolly,0,2023-02-22,0,0.0928293990594506,0.760146860972372,1.165987253189087,0.4965335
catherine connolly,0,2023-02-22,1,0.0454957191345515,0.90118864465065,1.3701848142913409,0.3710092
danny healy-rae,0,2023-02-22,0,0.113968959488922,0.844001313752339,1.32328401280697,0.47334763
thomas pringle,0,2023-02-22,0,0.163856330226265,0.721372977517303,1.2032273763960055,0.44388896
sean o fearghail,1,2023-02-16,0,0.392981464200161,0.262039129912241,2.2810484170913696,0.29608306
catherine connolly,0,2023-02-16,0,0.91323821051737,0.0649448912259117,2.8234747648239136,0.24756238
catherine connolly,0,2023-02-15,0,0.95135771615699,0.0344541242214763,2.5287059048811593,0.2579616
catherine connolly,0,2023-02-14,0,0.960229030388215,0.0307700443506389,2.6009045839309692,0.15992707
victor boyhan,0,2023-02-02,0,0.751675044857062,0.199919330351836,3.5041697713044972,0.4061197
ivana bacik,0,2023-02-01,0,0.207585395003729,0.766382178342651,1.1885680666676277,0.29023948
ivana bacik,0,2023-02-01,1,0.132266751916202,0.776895061424848,1.1259236534436543,0.3399161
sean canney,0,2023-02-01,0,0.34599275948379,0.599608987697185,1.8608145077486296,0.4542642
mattie mcgrath,0,2023-02-01,0,0.18567907000189,0.782932892673434,1.132691182784344,0.4840339
catherine connolly,0,2023-02-01,0,0.165844687347216,0.786522041787467,1.6647381064792477,0.56916225
lisa chambers,1,2023-01-31,0,0.740493553678751,0.240469017942032,2.801418809127062,0.35988748
catherine connolly,1,2025-10-01,0,0.214645944719336,0.723658941338768,1.0915252349593425,0.38937747
jim o'callaghan,1,2025-10-01,0,0.651710648510448,0.318206138795402,2.0261005953602167,0.3875031
ronan mullen,1,2025-07-17,0,0.286434117610732,0.64836301342412,0.7254950278438628,0.39382333
ronan mullen,1,2025-07-16,0,0.14834521608575,0.820159326852485,2.147077778019966,0.3706674
catherine connolly,1,2025-07-15,0,0.0712853400927359,0.831760924368156,0.9698063676409862,0.59741664
ivana bacik,0,2025-07-09,0,0.249499229334278,0.654185276568188,2.030836838072744,0.41372648
victor boyhan,1,2025-07-01,0,0.502293054953027,0.407510828403425,2.4291142094484033,0.5508079
victor boyhan,1,2025-06-25,0,0.823725802721923,0.153592307313541,3.095763299526537,0.40531874
victor boyhan,1,2025-06-25,1,0.741559096550414,0.220500276015686,2.360700020644193,0.45038083
alice-mary higgins,1,2025-06-25,0,0.402301908457779,0.556480203609329,2.23491339453242,0.36892897
victor boyhan,1,2025-06-19,0,0.390708029628185,0.39944790619304,2.230930203924308,0.44736743
victor boyhan,1,2025-06-19,1,0.298533512916082,0.62261388528743,2.184996349307207,0.47255188
victor boyhan,1,2025-06-19,2,0.525365269494195,0.413171896558955,2.2382704175036885,0.4858002
gerard p. craughwell,1,2025-06-19,0,0.335273504726093,0.364618809919984,1.2566624730825424,0.35282016
alice-mary higgins,1,2025-06-19,0,0.502143283862952,0.46770383530803,1.3942818905537326,0.35368437
gerard p. craughwell,1,2025-06-19,1,0.410755670700876,0.528954165896286,0.9601397346705198,0.29404235
